id,address,number,postal_code,municipality,province,unique_address,points_coordinates,lat,lng
11655.0,beverlosesteenweg,128,3583,paal-beringen,limburg,"beverlosesteenweg,128,3583,paal-beringen,limburg","(5.1859771, 51.0463751)",51.0463751,5.1859771
11658.0,magazijn straat,3,3550,heusden-zolder,limburg,"magazijn straat,3,3550,heusden-zolder,limburg","(5.3263014, 51.0398855)",51.0398855,5.3263014
11661.0,rue du parc industriel,4,4540,amay,liège,"rue du parc industriel,4,4540,amay,liège","(5.32803, 50.5442821)",50.5442821,5.32803
11662.0,blijdorpstraat,3,9255,buggenhout,oost-vlaanderen,"blijdorpstraat,3,9255,buggenhout,oost-vlaanderen","(4.171025200000001, 51.0247355)",51.0247355,4.171025200000001
11667.0,kerkendam,8,2940,stabroek,antwerpen,"kerkendam,8,2940,stabroek,antwerpen","(4.3652185, 51.3309818)",51.3309818,4.3652185
11668.0,kerkstraat,89,2940,stabroek,antwerpen,"kerkstraat,89,2940,stabroek,antwerpen","(4.3993968, 51.30285629999999)",51.30285629999999,4.3993968
11669.0,sportweg,1,2940,stabroek,antwerpen,"sportweg,1,2940,stabroek,antwerpen","(4.3678164, 51.33593399999999)",51.33593399999999,4.3678164
11670.0,kerkstraat,9,2940,stabroek,antwerpen,"kerkstraat,9,2940,stabroek,antwerpen","(4.404992, 51.3060707)",51.3060707,4.404992
11676.0,place andré renard,1,4540,amay,liège,"place andré renard,1,4540,amay,liège","(5.3127736, 50.5577777)",50.5577777,5.3127736
11679.0,laarstraat,5,9100,sint-niklaas,oost-vlaanderen,"laarstraat,5,9100,sint-niklaas,oost-vlaanderen","(4.1894737, 51.1497447)",51.1497447,4.1894737
11680.0,ridder dessainlaan,65,2800,mechelen,antwerpen,"ridder dessainlaan,65,2800,mechelen,antwerpen","(4.4645657, 51.0197046)",51.0197046,4.4645657
11681.0,jan denucéstraat,33,2020,antwerpen,antwerpen,"jan denucéstraat,33,2020,antwerpen,antwerpen","(4.3910327, 51.19479330000001)",51.19479330000001,4.3910327
11682.0,jan denucéstraat,16,2020,antwerpen,antwerpen,"jan denucéstraat,16,2020,antwerpen,antwerpen","(4.3901697, 51.1954973)",51.1954973,4.3901697
11683.0,stenenbrug,40,2140,antwerpen,antwerpen,"stenenbrug,40,2140,antwerpen,antwerpen","(4.44482, 51.21400860000001)",51.21400860000001,4.44482
11684.0,jan de voslei,36,2020,antwerpen,antwerpen,"jan de voslei,36,2020,antwerpen,antwerpen","(4.388773, 51.19130740000001)",51.19130740000001,4.388773
11685.0,jan denucéstraat,23,2020,antwerpen,antwerpen,"jan denucéstraat,23,2020,antwerpen,antwerpen","(4.388911999999999, 51.1953138)",51.1953138,4.388911999999999
11686.0,cité des aubépines,5,7330,saint-ghislain,hainaut,"cité des aubépines,5,7330,saint-ghislain,hainaut","(3.8127927, 50.4482078)",50.4482078,3.8127927
11689.0,rue des ecoles,50,6990,hotton,luxembourg,"rue des ecoles,50,6990,hotton,luxembourg","(5.4492704, 50.2701198)",50.2701198,5.4492704
11690.0,h. theresialaan,79,1700,dilbeek,vlaams-brabant,"h. theresialaan,79,1700,dilbeek,vlaams-brabant","(4.2801817, 50.84133079999999)",50.84133079999999,4.2801817
